OBJECTID,District,Route,Direction,Begin_County,Begin_Post_Mile,End_County,End_Post_Mile,Begin_Abs_Post_Mile,End_Abs_Post_Mile,Description,Length__Lane_Miles_,Occupancy_Requirement,Hours_of_Operation,Segment_Opening_Date,Comments,Shape_Length
1,3,5,NB,SAC,9.695,SAC,22.386,504.773,517.464,South of Elk Grove Blvd to the I-5/US 50 interchange,12.691,2+,M-F06:00-10:0015:00-19:00,10/24/2022,,26156.305243613
2,3,5,SB,SAC,22.957,SAC,10.003,518.035,530.989,the I-5/US 50 interchange to South of Elk Grove Blvd,12.954,2+,M-F06:00-10:0015:00-19:00,10/24/2022,,26701.682330375
3,3,50,EB,SAC,R5.371,ED,5.834,11.005,34.632,Watt Ave to Cameron Park Dr,23.627,2+,M-F06:00-10:0015:00-19:00,Watt Ave to Sunrise Blvd - Dec 2011Sunrise Blvd to Prairie City Rd - Jul 2002Prairie City Rd to El Dorado Hills Blvd - Nov 2002El Dorado Hills Blvd to Bass Lake Rd - Nov 2011Bass Lake Rd to Cameron Park Dr - Oct 2012,,48659.1559796519
4,3,50,WB,ED,6.459,SAC,R6.366,35.347,12,Cameron Park Dr to Watt Ave,23.347,2+,M-F06:00-10:0015:00-19:00,Cameron Park Dr to Bass Lake Rd - June 2013Bass Lake Rd to El Dorado Hills Blvd - Nov 2011El Dorado Hills Blvd to Prairie City Rd - Nov 2002Prairie City Rd to Sunrise Blvd - Mar 2002Sunrise Blvd to Watt Ave - Mar 2012,,48123.5542366062
5,3,51,NB,SAC,0,SAC,0.717,0,0.717,SR-99/US-50 to N Street,0.717,2+,M-F06:00-10:0015:00-19:00,Sep-99,State Route 51 = Interstate 80 Business LoopContinuation of HOV lane from Route 99,1477.73073428019
6,3,51,SB,SAC,1.467,SAC,0,1.467,0,B Street to SR-99/US-50,1.467,2+,M-F06:00-10:0015:00-19:00,Sep-99,State Route 51 = Interstate 80 Business LoopContinues onto Route 99,3028.85044190724
7,3,80,EB,SAC,M0.767,PLA,4.718,84.691,106.237,West El Camino Ave to SR-65,21.546,2+,M-F06:00-10:0015:00-19:00,Yolo Co Line to Longview Dr - Dec 2016Longview Dr to Madison Ave - Jul 2004Madison Ave to Riverside Ave - Oct 2003Riverside Ave to Eureka Rd - Oct 2011Eureka Rd to Rte 65 - Nov 2011,,44432.1858059174
8,3,80,WB,PLA,4.88,SAC,M1.012,106.399,84.936,SR-65 to West El Camino Ave,21.463,2+,M-F06:00-10:0015:00-19:00,Rte 65 to Eureka Rd - Nov 2011Eureka Rd to Riverside Ave - Oct 2011Riverside Ave to Longview Dr - Jul 2004Longview Dr to Yolo Co Line - Dec 2016,,44239.9531899999
9,3,99,NB,SAC,11.969,SAC,R24.351,286.475,298.857,Elk Grove Blvd to US-50/SR-51,12.382,2+,M-F06:00-10:0015:00-19:00,Elk Grove Blvd to Laguna Blvd - Oct 1998Laguna Blvd to Mack Rd - Oct 1997Mack Rd to Martin Luther King Jr Blvd - Nov 1990MLK Jr Blvd to Jct Rtes 50/51 - Sep 1999,Continues onto Rte 51,25507.7171401649
10,3,99,SB,SAC,R24.351,SAC,12.191,298.857,286.697,US-50/SR-51 to Elk Grove Blvd,12.16,2+,M-F06:00-10:0015:00-19:00,Jct Rtes 50/51 to Martin Luther King Jr  Blvd- Sep 1999MLK Jr Blvd to Mack Rd - Nov 1990Mack Rd to Laguna Blvd - Oct 1997Laguna Blvd to Elk Grove Blvd - Oct 1998,Continuation of HOV lane from Rte 51,25062.8953807433
11,4,1,NB,SF,4.645,SF,5.951,426.442,427.748,N. of Crossover Dr. to N. of Lake St.,1.306,2+,M-F5:00-20:00,"Opened; GP lane conversion to HOV 2+ pilot project (2-3 years), 04/11/22",,2722.23418526635
12,4,1,SB,SF,5.955,SF,4.559,427.752,426.366,N. of Lake St. to Crossover Dr.,1.386,2+,M-F5:00-20:00,"Opened; GP lane conversion to HOV 2+ pilot project (2-3 years), 04/11/22",,2902.36346158846
13,4,4,EB,CC,R13.116,CC,R28.480,12.923,28.263,Port Chicago Hwy to Hillcrest Ave,15.34,2+,M-F15:00-19:00,"Opened; Port Chicago Hwy. to W/O Railroad Ave., 08/06/01 Extended; W/O Railroad Ave. to Railroad Ave., 07/24/06Extended; Railroad Ave. to W/O Loveridge Rd., 11/06/13Extended; W/O Loveridge Rd. to W/O Somersville Rd., 11/21/15Extended; W/O Somersville Rd.",EB only - PM,31297.5655171828
14,4,4,WB,CC,R28.722,CC,R16.382,28.055,16.189,Hillcrest Ave to Port Chicago Hwy,11.866,2+,M-F05:00-09:00,"Opened; Bay Point to E/O Port Chicago Hwy., 05/01/00Extended; Bailey Rd. to E/O Port Chicago Hwy., 05/05/00Extended; W/O Railroad Ave. to E/O Port Chicago Hwy., 07/23/01Extended; Loveridge Road to E/O Port Chicago Hwy., 07/24/06Extended; Loveridge Road t",WB only - AM,25107.9677376389
15,4,80,EB,ALA,2.579,CC,13.171,7.908,26.523, I-880 to Cummings Skyway,18.615,3+,M-F05:00-10:0015:00-19:00,"Opened; Gilman St. to Contra Costa Co. line, 07/31/98Extended; Powell St. to Gilman St., 11/20/98 Extended; I-880 viaduct to Powell St., 11/12/03 Opened ; San Pablo Dam Road to Pinole Valley Road, 02/12/97Extended; Cutting Blvd. to San Pablo Dam Road, 02",2-Seat Vehicles with 2 Persons Permitted,38108.4679911604
